APA Citation,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
"Mihelj, Sabina, Leguina, Adrian, & Downey, John. (2019). Culture is digital: Cultural participation, diversity and the digital divide. New Media & Society, 21(7), 1465–1485. https://doi.org/10.1177/1461444818822816",10.1177/1461444818822816,"Culture is Digital: Cultural Participation, Diversity, and the Digital Divide.","Mihelj, Sabina, Leguina, Adrian, & Downey, John",2019,Systematic review,Systematic review,"Digital technologies are powerful instruments and gatekeepers in the cultural sector - they reinforce inequalities in this domain.

'Taking Part Survey (TPS)' -- broad questions about participation in arts, leisure, sports, media, digital activities. Used here in the context of engaging with museums/galleries for leisure

""Through engaging with these cultural institutions, upper and middle classes can accrue much higher levels of cultural capital, develop a sense of entitlement and authority, as well as a range of skills that can enable them to develop more successful careers and ‘translate’ their cultural capital into other forms of privilege.""

Three levels of Digital Divide: 1) Access to modern technologies 2) Differences in usage as explained by skill or knowledge gap, even with universal access 3) Does digital access affect the ability to engage in leisure or cultural activities?

Results: Inequalities persist in access/engagement - gender, education, occupational class, ethnicity, location. Online access reproduces these inequalities. ","The author introduces the term 'digital optimism'.
How can levels of culture be open/available to diverse groups?
Notion of online participation directly comparing to in-person participation?",Digital optimism would be an interesting concept for a mixed methods application (qualitative Interview),"Culture, Digital, Public, Access, Accessibility, Inequality, Media, Social, Use, Cultural participation, Digital divide, Diversity, Galleries","Digital literacy and skill, Social inequality",UK,,,,
"Miley, S. K., & Farmer, A. (2017). English Language Proficiency and Content Assessment Performance: A Comparison of English Learners and Native English Speakers Achievement. English Language Teaching, 10(9), 198-207. doi: 10.5539/elt.v10n9p198",doi: 10.5539/elt.v10n9p198,English Language Proficiency and Content Assessment Performance: A Comparison of English Learn and Native English Speakers Achievement,"Miley, S. K. & Farmer, A.",2017,Correlational,Secondary analysis,"The purpose of this study was to compare and analyze the performance levels of ELs who achieved the exit criteria on WIDA-Access state mandated English proficiency assessment and their subsequent performance on English Language Arts and Math TCAP assessments. Specifically, a comparison of EL’s achievement on TCAP was compared to the achievement on TCAP of non-ELs. Independent samples t-tests were performed on data from 302 elementary and middle school ELs and non-ELs that participated in WIDA-Access and TCAP assessments in 2015. Data analyses concluded that English Language Arts and Math TCAP scale scores were significantly different between ELs and non-ELs. Achievement levels in both English Language Arts TCAP and Math TCAP for ELs, who achieved the exit criteria on WIDA-Access, were lower than the achievement levels of non-ELs. Discussions of the findings in this study along with implications of using these assessments to measure ELs growth is provided in relation to the increased demands on measuring both the academic achievement and English language progress for ELs.",N/A,N/A,"Assessment, English, Student, Achievement, Proficiency, Language, Learner, English learners, Content assessments, Tcap",Student achievement and performance,US (Tennessee),,Check,,Students
"Mirza, U. M., Richter, A., Nes, E. H. v., Marten, S. (2019). Technology driven inequality leads to poverty and resource depletion. Ecological Economics, 160, 215–226. DOI: 10.1016/j.ecolecon.2019.02.015",10.1016/j.ecolecon.2019.02.015,Technology Driven Inequality Leads to Poverty and Resource Depletion.,"Mirza, U. M., Richter, A., Nes, E. H. v., Marten, S.",2019,Experimental,Modeling,""" We use a stylised social-ecological model, to illustrate how a positive feedback between wealth and technology may fuel local inequality. The resulting rise in local inequality can lead to resource degradation and critical transitions such as ecological resource collapse and unexpected increase in poverty. Further, we find that societies may evolve towards a stable state of few wealthy and many poor individuals, where the distribution of wealth depends on how access to technology is distributed. Overall, our
results illustrate how access to technology may be a mechanism that fuels resource degradation and consequently pushes most vulnerable members of society into a poverty trap.""","Our paper paints a rather bleak picture of a developing society based on the assumptions that the system is capitalistic (Piketty and Zucman, 2014) and there are no real effective redistribution mechanisms (Besley and Persson, 2014). Without a government implementing tax mechanisms or social safety nets for the poor, we see the stabilization of poverty levels in the long run.",N/A,"Resource, Wealth, Inequality, Technology, Productivity, Model, , Inequality, Technology, Social-ecological systems, Poverty trap, Dynamic systems, Critical transitions","Digital resources, Social inequality, Digital resources",Netherlands,,,,
"Mitchell, C., Gonsalves, S., Casper, J. (2021). Six Community Broadband Networks Demonstrate Diversity of Approaches to Connectivity Challenges. Benton Institute for Broadband & Society. https://www.benton.org/publications/community-broadband-networks",None,"Six Community Broadband Networks Demonstrate
Diversity of Approaches to Connectivity Challenges","Mitchell, C., Gonsalves, S., Casper, J.",2021,Organization report,Systematic review,"The article provides several examples of community broadband projects and their histories. More detailed information is available for exploration. In all, municipal broadband is becoming more available. ""Communities seeking to create a more competitive broadband market and target low-income neighborhoods with high-quality, modestly priced service are increasingly building their networks, whether in partnership with ISPs or on their own.""",N/A,N/A,"Community, Government, Broadband, Network","Broadband availability and impact, Digital divide",US,,,,
"Moneva, J. C., Japos, L. C., & Ohayas, R. L. (2020). Parental Motivation and Achievement. International Journal of Social Science Research, 8(2), 102-115. http://dx.doi.org/10.5296/ijssr.v8i2.16790",10.5296/ijssr.v8i2.16790,Parental Motivation and Achievement. International Journal of Social Science Research.,"Moneva, J. C., Japos, L. C., & Ohayas, R. L.",2020,Correlational,Survey,"How does parental motivation impact student achievement?
""Questionnaire given to students and parents to gauge motivation, engagement in school.""
""Student and parent motivation can be cyclical and self-fulfilling -- students can motivate parents and vice versa.... students can be motivated by their own achievements (intrinsic)""

Parent motivation and student achievement has a significant association.

""The study revealed that parents do not always provided a motivation to their students most of the parents sometimes give a motivation to their student. However, the achievements of students are still in high level. The achievements of students do not always depend on their parents’""",N/A,N/A,"Achievement, Students, Parental motivation","Student achievement and performance, Motivation",Philippines,Check,Check,,"Parents, Students"
"Moore, R. A. E. A. L., Vitale, D., & STAWINOGA, N. (2018). The digital divide and educational equity. ACT Center for Research Equity in Learning. https://files. eric. ed. gov/fulltext/ED593163. pdf.",None,The Digital Divide and Educational Equity.,"Moore, R. A. E. A. L., Vitale, D., & STAWINOGA, N.",2018,Organization report,Survey,"This brief focuses on students with very limited technological access (one device at home)... these students face unique challenges (having to share device use among family).

Students selected from a 2017 survey that asked what types of devices they had access to, how reliable is Internet, etc. Majority (85%) of those who qualify under these guidelines were underserved (low-income, first gen, minority race). Students with one device were more likely to live in a rural area (24% of those w/ one device).

Results -- 56% of students who reported one device indicated that it was a smartphone*... 47% of respondents depend exclusively on mobile cellular data… These students use their devices less frequently. Nearly half of respondents indicated that they were unable to complete an assignment or received a lower grade because of lack of internet or computer access","Discusses the concept of what types of devices are accessible and how that impacts achievement.

A possible added layer of complexity that contributes to the digital divide.",N/A,"Impacts, Achievement, Digital divide, Policy","Access to digital device, Student achievement and performance",US,,,,
National Economic Council and Council of Economic Advisors. (2015). Community-Based Broadband Solutions: The Benefits of Competition and Choice for Community Development and High-Speed Internet Access. https://files.eric.ed.gov/fulltext/ED584128.pdf.,None,Community-Based Broadband Solutions: The Benefits of Competition and Choice for Community Development and High-Speed Internet Access.,National Economic Council and Council of Economic Advisors,2015,Government excutive,N/A,"Outlines areas and circumstances that allow Americans to access high-quality Internet speeds.

Growing demand for increased bandwidth driven by new applications of the Internet that require a broadband connection (video streaming, teleworking, cloud storage)... this has only increased in the pandemic.

Provides some useful maps/charts showing broadband availability.

It is more economical for Internet providers to serve densely populated urban locations.","More work is needed to close the urban/rural gap in broadband availability

EXAMPLES OF COMMUNITY INITIATIVES

Lafayette, LA -- Publicly owned utilities system started connecting homes and businesses to its public network in 2009 || The rollout proceeded equally in all income areas || Network was prioritized to community anchors like schools and libraries 

Choctaw Nation Tribal Area -- every school in the service area was connected with high-speed fiber optics || schools have thus integrated online education tools || family engagement has improved",N/A,"Urban, Gap, Connecting, Connected, Availability","Access to digital device, Community impact",US,,,,
"Nikken, Peter, & Schols, Marjon. (2015). How and Why Parents Guide the Media Use of Young Children. Journal of Child and Family Studies, 24(11), 3423–3435. https://doi.org/10.1007/s10826-015-0144-4",10.1007/s10826-015-0144-4,How and Why Parents Guide the Media Use of Young Children.,"Nikken, Peter, & Schols, Marjon",2015,"Correlational, Exploratory",Survey,"Using a five-point scale (ranging from 1 = fully disagree to 5 = fully agree), parents gave their opinion on 22 statements about media and young children.Attitudes about media for children (positive effects/negative effects/pacifying/too complicated).
Children (0-7 years old)'s use of media (computers, game consoles, TV, touchscreens) are mainly depended on their age and media skills, depended on their parents' mediation style. Parents' attitude plays an indirect mediating role. Parents' age is not a significant factor. Parents' perception of media use does not directly affect children's media use, but is relevant to the frequency and type of mediation/regulation that parents use to guide children's media use.",N/A,N/A,"Young children, Television, Educational","Parents' attitude and perception, Digital and technology usage",Netherlands,,,,
"Noyes, D.R. & Higginson Hanna, T. (2020). Tech Goes Home Impact Report 2020. Tech Goes Home. Retrived from https://47ab9e76-c79f-45c8-8473-ff7df2a7cd56.filesusr.com/ugd/f01914_2a3f84485cf94608bb8900b53fb40864.pdf",None,Tech Goes Home Impact Report 2020,"Noyes, D.R. & Higginson Hanna, T.",2020,Organization report,N/A,"A Greater Boston initiative to provide Internet access, devices, and training to underserved communities.

""We updated and expanded our education courses to focus on remote learning and help nearly 1,200 students access and excel at remote schoolwork. We developed new resources to ensure that more than 2,500 of our learners could access essential resources such as remote grocery and prescription delivery, telehealth, and benefits, from home. We ramped up our professional development and workforce training courses to help more than 500 unemployed learners apply for jobs from home and find new opportunities in the workforce.""

Removing barriers to academic achievement, empowering economic .","The report outlined improved grades for students, students being able to better complete schoolwork and use devices for learning.

It offers exciting context rooted in COVID's impact on education and other functions of the Internet.",N/A,"Digital, Program, Resources, Boston, Access, Community, Home, Complete, Improved, Offers","Educational outcomes, Social inequality, Broadband availability and impact, Access to digital device, Digital and technology usage, Digital literacy and skill, Digital resources, Digital divide",US (Massachusetts),,,,
"Noyes, D.R. & Higginson Hanna, T. (2021). Tech Goes Home Impact Report 2021. Tech Goes Home. Retrived from https://www.techgoeshome.org/impact-report",None,Tech Goes Home Impact Report 2021,"Noyes, D.R. & Higginson Hanna, T.",2021,Organization report,N/A,"474 school-aged students improved their grades
1,316 graduates were able to work from home
2,075 graduates accessed information about the COVID-19 pandemic
2,201 graduates communicated via video chat",N/A,N/A,"Digital, Program, Resources, Boston, Access, Community, Home, Complete, Improved, Offers","Educational outcomes, Social inequality, Broadband availability and impact, Access to digital device, Digital and technology usage, Digital literacy and skill, Digital resources, Digital divide",US (Massachusetts),,,,
Ofcom. (2019). Children and parents: Media use and attitudes report. Retrived from https://www.ofcom.org.uk/__data/assets/pdf_file/0023/190616/children-media-use-attitudes-2019-report.pdf,None,Children and Parents: Media Use and Attitudes Report.,Ofcom,2019,Organization report,N/A,"""This report provides evidence on media use, attitudes and understanding among children and young people aged 5-15, as well as about the media access and use of young children aged 3-4. It also includes findings on parents’ views about their children’s media use, and how they monitor and limit it.""

“As in 2018, more than half of parents of children who go online believe that the benefits of the internet outweigh the risks for their child. However, the proportion of parents who feel this way has declined over the last five years, from 65% in 2015 to 55% in 2019.”

""For children age 12-15, parents perceive internet is more helpful to their children for educational purpose than children think internet is helping.""

Rich details included in the repot. ",The report provides many excellent examples of data visualization including charts and tables.,N/A,"Children, Online, Content, Parents, Age, Increases, Media use","Parents' attitude and perception, Digital and technology usage",UK,Check,,,Parents
"Pant, Laxmi Prasad, & Hambly Odame, Helen. (2017). Broadband for a sustainable digital future of rural communities: A reflexive interactive assessment. Journal of Rural Studies, 54, 435–450. https://doi.org/10.1016/j.jrurstud.2016.09.003",10.1016/j.jrurstud.2016.09.003,Broadband for a Sustainable Digital Future of Rural Communities: A Reflexive Interactive Assessment.,"Pant, Laxmi Prasad, & Hambly Odame, Helen",2017,Case study,Case study,"The study investigated immediate outcomes and potential long term outcomes of rural area broadband implementation for small business and organizations. 

They used a reflexive interactive asssessment appraoch, being reflextive on the positions and values as researchers and participants. As the process went on, they integrate social change assessment and technological change assessment. *""Reflexivity [emphasis in original] is finding strategies to question our own attitudes, thought processes, values, assumptions, prejudices and habitual actions, to strive to understand our complex roles in relation to others""

Several interview and Case study were conducted. 

""Interview questions were related to background information on small businesses and community organisations, business strategy, adoption of broadband technology
and broadband enabled devices as well as future potential for socio-technical innovation, sustainability transitions and economic growth""

Result: they concluded that broadband internet is significantly important to small businsess to expand and retain their business. 

""Findings revealed location and sector specific benefits of broadband that rural small businesses and community organisations have reaised from increased access to (including availability and affordability) as well as reliability of Internet connections. Also evident were early signs of transitions to more resilient and sustainable rural communities. Partly because of a new initiative, research evidence, however, was not sufficiently robust to determine system-level impacts or structural changes, such as closing rural-urban price gaps and reducing the price of rural broadband services.""",Reflextive interactive assessment methods seems interesting.,N/A,"Business, Broadband, Assessment, Reﬂexive, Reﬂexivity, Internet, Rural, Digital, Sustainability, Agriculture, Reflexive interactive assessment","Broadband availability and impact, Community impact, Tangible outcomes",Canada,,,,
"Park, Sira, Stone, Susan I, & Holloway, Susan D. (2017). School-based parental involvement as a predictor of achievement and school learning environment: An elementary school-level analysis. Children and Youth Services Review, 82, 195–206. https://doi.org/10.1016/j.childyouth.2017.09.012",10.1016/j.childyouth.2017.09.012,School-Based Parental Involvement as a Predictor of Achievement and School Learning Environment: An Elementary School-Level Analysis.,"Park, Sira, Stone, Susan I, & Holloway, Susan D",2017,"Correlational, Longitudinal","Secondary analysis, Modeling","The study examines the relationship of school-level student achievement and the school learning environment to three forms of parental involvement: directed toward school improvement (public good), directed through their child's learning (private good), and formation of social networks.

Schools with high levels of public-good PI are more likely to show more positive learning environments and be at/above national and state standards in math and reading achievement. Schools with more robust parent social networks were more likely to report better student achievement.

""Our analysis suggests that the benefits of networking and of private-good PI may be particularly beneficial for schools serving higher percentages of low-income students. For underserved communities, school improvement hinges on fostering a culture of communication and cooperation between school staff members and parents.""",Notion of parental networks is an interesting implication,N/A,"Schools, Parent, Level, Eﬀects, Model, Student, Education, Achievement, Involvement","Student achievement and performance, Parents' engagement",US,Check,Check,,"Parents, Students"
"Racz, Sarah Jensen, Johnson, Sarah Lindstrom, Bradshaw, Catherine P, & Cheng, Tina L. (2017). Parenting in the digital age: urban black youth's perceptions about technology-based communication with parents. Journal of Family Studies, 23(2), 198–214. https://doi.org/10.1080/13229400.2015.1108858",10.1080/13229400.2015.1108858,Parenting in the Digital Age: Urban Black Youth's Perceptions About Technology-Based Communication with Parents.,"Racz, Sarah Jensen, Johnson, Sarah Lindstrom, Bradshaw, Catherine P, & Cheng, Tina L",2017,Descriptive,"Survey, Interview, Focus group","African American low-income urban teenager 19-22 years old. Most survey responders use the internet every day (cell phone), text messaging is more frequent than email. Communication with parents uses text messaging a lot. They are concerned about invasions of privacy and frequency from parents regarding technology.",N/A,N/A,"Technology, Adolescence, Youth","Student achievement and performance, Parents' engagement, Social inequality, Digital and technology usage",US,,,,
"Rampersad, Giselle, & Troshani, Indrit. (2013). High-speed broadband: assessing its social impact. Industrial Management + Data Systems, 113(4), 541–557. https://doi.org/10.1108/02635571311322784",10.1108/02635571311322784,High-Speed Broadband: Assessing Its Social Impact.,"Rampersad, Giselle, & Troshani, Indrit",2013,Case study,Case study,"The study assessed the social impact of high-speed broadband (sectors of education, healthcare, and community development). Data was collected via in-depth face-to-face Interviews with the local community... a snowballing method was used to recruit individuals in different business sectors in the community.

Results: interviewees noted that high-speed broadband was crucial for delivering effective synchronous education || it increases access to telehealth and remote health options || broadband made their communities more socially inclusive and vibrant","Sectoral analysis of broadband, rather than an individual person sampling",N/A,"Information technology, Broadband, Communication, Networks",Broadband availability and impact,Australia,,,,
"Reddick, Christopher G, Enriquez, Roger, Harris, Richard J, & Sharma, Bonita. (2020). Determinants of broadband access and affordability: An analysis of a community survey on the digital divide. Cities, 106, 102904–102904. https://doi.org/10.1016/j.cities.2020.102904",10.1016/j.cities.2020.102904,Determinants of Broadband Access and Affordability: An Analysis of A Community Survey on the Digital Divide.,"Reddick, Christopher G, Enriquez, Roger, Harris, Richard J, & Sharma, Bonita",2020,Case study,Case study,"The researchers used social exclusion theory and found five broadband affordability factors to examine the digital divide: geographical disparities, profit-based discrimination, technology deployment cost, and socioeconomic factors.
Aside from geographical disparities, they found that lower-income households have a digital divide even inside the cities.",Digital Inclusion Survey and Assessment DISA 2020 survey： https://hcap.utsa.edu/wp-content/uploads/2020/06/Measuring-the-Digital-Divide-Report_Final_City.pdf,N/A,"Digital divide, Survey research, Broadband","Broadband availability and impact, Digital divide, Community impact",US,,,,
"Reza, Fawzia. (2020). COVID-19 and Disparities in Education: Collective Responsibility Can Address Inequities. Knowledge Cultures, 8(3), 68–75. https://doi.org/10.22381/KC83202010",10.22381/KC83202010,COVID-19 and Disparities in Education: Collective Responsibility Can Address Inequities.,"Reza, Fawzia",2020,Comentary,N/A,"Overall the study finds that one-in-six students come from areas with poor broadband coverage, with significant disparities in geography and HEI. It also finds that students from the poorest broadband coverage areas are more likely to be socioeconomically disadvantaged. This paper recommends that HEIs use their detailed registration data to help identify and support at-risk students and prioritize access to campus facilities and services to less well-off students living in poor broadband coverage areas.",N/A,N/A,"Online learning, Covid-19, Digital divide, Collective responsibility, Unequal resources, Segregated schools","Broadband availability and impact, Social inequality",Ireland,,,,
"Rideout, V. (2007). Parents, Children & Media: A Kaiser Family Foundation Survey. Kaiser Family Foundation. https://www.kff.org/wp-content/uploads/2013/01/7638.pdf",None,"Parents, Children and Media: A Kaiser Family Foundation Survey.","Rideout, V",2007,Organization report,"Survey, Focus group, Interview","From 1998 to 2006, parents become less concerned about children exposed to sex, violence, adult language content on internet. African American parents are more conerned in this area than Hispanic parents, than White parents. But most parents think today's media is more harmful than in the past.

Rich content and details included in the report. ",N/A,N/A,"Parent, Tv, Media, Age, Use","Parents' attitude and perception, Digital and technology usage",US,Check,,,Parents
"Sakamoto, J. (2021). The Association between Parent Participation in School Management and Student Achievement in Eight Countries and Economies. International Education Studies, 14(1), 115-129. https://files.eric.ed.gov/fulltext/EJ1281383.pdf, https://doi.org/10.5539/ies.v14n1p115 ",10.5539/ies.v14n1p115 ,The Association Between Parent Participation in School Management and Student Achievement in Eight Countries and Economies.,"Sakamoto, J",2021,"Experimental, Correlational",Secondary analysis,"How does participation affect student achievement and school decisions? Is there a correlation between parent participation (in school management) and student success?

The author found no evidence that parent participation in school management contributed to improving student achievement.

""Parent participation in school management has been promoted as a strategy for holding schools accountable for education quality and outcomes. However, the evidence has proven inconclusive and limited in explaining mechanisms to affect student achievement. By using public school student data derived from the Programme for International Student Assessment 2015, this study examines how 1) participation of a student’s own parents in school management, which would affect their learning support at home and 2) participation of a group of parents, which would influence school decisions and thus affect the learning environment at school, are associated with student achievement in Croatia, Georgia, Portugal, the Dominican Republic, Mexico, Korea, Hong Kong, and Macao. I found no evidence that parent participation in school management contributed to improving student achievement. Instead, depending on the country, a negative association is derived from either individual-level or school-level parent participation. The associations are not moderated by parents’ socioeconomic status but by school’s openness to parental engagement in some of the countries, indicating that what matters might not be participation per se but the degree of engagement. The findings underscore the importance of understanding mechanisms and conditions in which parent participation affects student learning in context to design effective participatory school governance.From 1998 to 2006, parents become less concerned about children exposed to sex, violence, adult language content on internet. African American parents are more conerned in this area than Hispanic parents, than White parents. But most parents think today's media is more harmful than in the past.
",Parent participation in school management might not be a promising strategy for improving educational outcomes,N/A,"Accessibility, Parent involvement, School governance, School-based management, Student","Student achievement and performance, Parents' engagement","Croatia,  Georgia,  Portugal,  Dominican Republic,  Mexico,  Korea,  Hong Kong, Macao",Check,Check,,"Parents, Students"
"Salemink, Koen, Strijker, Dirk, & Bosworth, Gary. (2017). Rural development in the digital age: A systematic literature review on unequal ICT availability, adoption, and use in rural areas. Journal of Rural Studies, 54, 360–371. https://doi.org/10.1016/j.jrurstud.2015.09.001",10.1016/j.jrurstud.2015.09.001,"Rural Development in the Digital Age: A Systematic Literature Review on Unequal ICT Availability, Adoption, and Use in Rural Areas.","Salemink, Koen, Strijker, Dirk, & Bosworth, Gary",2017,Systematic review,Systematic review,"""People have to know how to effectively use ICTs for their economic benefit or their quality of life.""

""Dominated by economic thinking, the urban focus of markets is regarded as a contextual fact when discussing the position of the rural. In this context, top-down regulatory measures and subsidies are the most common instruments to deal with the urban-rural divide (section 4.5). Research on inclusion issues (section 5) is largely people-based and focuses on demand side and bottom-up elements, such as diffusion, skills, affordability, cultural differences and attitudes towards ICTs.""

""To what extent are rural communities, united in civic initiatives or community action groups, and telecommunications companies able to regulate this process together, and where do they need government support?""",N/A,N/A,"Rural development, Digital divide","Broadband availability and impact, Community impact",US,,,,
"Sanchis-Guarner, R., Montalban, J., & Weinhardt, F. (2021). Home Broadband and Human Capital Formation. CES Info Working Papers. https://ssrn.com/abstract=3772087.",None,Home Broadband and Human Capital Formation,"Sanchis-Guarner, R., Montalban, J., & Weinhardt, F.",2021,Correlational,Secondary analysis,"Setting: England - test scores from 2005-2008 -""In this article, we apply a careful identification strategy to overcome these challenges. We estimate the causal effect of home high-speed internet on teenagers' test scores. For this purpose, we combine rich, comprehensive geolocated administrative data from England to exploit a (fuzzy) spatial regression discontinuity (SRD) design.""

""Our main finding is that broadband quality has positive effects on national externally marked test scores. We find that moving 100 meters closer to the LE station increases student test scores by 0.122 percentile ranks.""

Researchers estimate that ""moving one meter closer to the LE station increases the national KS3 exam performance at age 14 by 0.00123 percentile ranks"" -- the effect is strongest for English, slightly stronger for girls, slightly stronger for high-achievers, and slightly stronger for students who are ineligible for free/reduced lunch.""

""scaling our Wald estimate by broadband takeup shows that for each increase in broadband speed of one Mbit/s, test
scores increase on average by 1.97 percentile points. This increase is equivalent to approximately 7% of a standard deviation in the national test score distribution"" -- not driven by school characteristics.""

Data Collection Methods -- researchers combine the linked postcode-to-exchange station telecom network data with data from the UK's telecommunication regulator (Ofcom) on the average internet speed experienced by households in 2012 and 2013. They construct an equation to estimate the effect of proximity to the LE station (Internet source - Wald estimate)... this is combined with test score data and demographic indicator.""","Examines broadband's impact on student learning in the context of shocks like the COVID-19 pandemic

Supports the notion that households of low socioeconomic status need added digital literacy support to facilitate achievement -- ""these results
still, speak to the hypothesis that home broadband access might exaggerate existing educational
inequality by achievement and family affluence.""

This paper seems to define this relationship shallowly... there is little dedication to pinning down what mechanisms drive the relationship between broadband speed and test performance

Governments investing in community broadband can boost educational performance and in other human capital domains (value of universal access to address inequalities)","Exploring the realized implications of higher broadband speed in the context of increased test performance... i.e., once online, how is time spent? What is contributing to the performance changes? What sites / resources?","Broadband, Education, Student performance, Spatial regression discontinuity, Distance learning, School, Speed, Student",Student achievement and performance,England,,Check,,Students
"Santos, P., Martínez-Moreno, J., Alonso, N., Mayrhofer, M., & Leo, D.H. (2020). Facilitating Digital Equity in Educational Contexts with Teenagers at Risk of Social Exclusion: the ICT Facilitator Competence Profile. SIIE.",None,Facilitating Digital Equity in Educational Contexts with Teenagers at Risk of Social Exclusion: The ICT Facilitator Competence Profile.,"Santos, P., Martínez-Moreno, J., Alonso, N., Mayrhofer, M., & Leo, D.H.",2020,Exploratory,Survey,"Study conducted in Raval district in Barcelona, targeting groups at risk of social exclusion (migrants, women, young people, elderly) Survey administered to ICT instructors (in a variety of capacities) - gauged importance of skills being taught to marginalized groups.

Results: instructors reported that critical thinking and social competencies were very important for digital inclusion. Same with communication, relational competencies, creativity, and inventiveness The main conclusion of this study is that beyond technical competences, the competences related to the social context and the capacity of development in environments of social exclusion are even more important.",Technology is a tool for participation and social transformation,N/A,"Social exclusion, Digital culture, Digital equity, Ict, Education, Teacher education","Digital divide, Social inequality, Educational outcomes",Spain,,,Check,Teachers
"Sari, Nurul Ratna. (2019). Information communication technology learning through the broadband learning center to build ‘Smart Community’ Masyarakat, Kebudayaan Dan Politik, 32(4), 354–362. https://doi.org/10.20473/mkp.V32I42019.354-362",10.20473/mkp.V32I42019.354-362,"Information Communication Technology Learning Through the Broadband Learning Center to Build ‘Smart Community’ Masyarakat, Kebudayaan Dan Politik","Sari, Nurul Ratna",2019,Descriptive,"Interview, Observation, Documentaion","The Surabaya government established a Broadband Learning Center (BLC) to build a smart city further. The BLC promotes community digital learning with different community groups. Data collection includes interviews, document reviews, and observation.

BLC uses community representatives who meet the requirement of a professional instructor and have professional knowledge in the field as trainers and instructors. They actively participate in decision makings. BLC helped women, adolescents, and seniors, to improve digital literacy. Digital literacy is important in forming a smart city (using digital tools to solve problems on their own).","The role of a community digital learning center is very helpful in improving digital literacy, especially to women, adolescents, and seniors.",N/A,"Community, Community, City, Digital, Technology, Learning, Smart, Community, Literacy","Digital literacy and skill, Tangible outcomes, Self-efficacy, Broadband availability and impact, Community impact",Indonesia,,,,
"Seymour, K., Skattebol, J, & Pook, B. (2020). Compounding education disengagement: COVID-19 lockdown, the digital divide and wrap-around services. Journal of Children's Services. http://dx.doi.org/10.1108/JCS-08-2020-0049.",10.1108/JCS-08-2020-0049.,"Compounding Education Disengagement: COVID-19 Lockdown, the Digital Divide and Wrap-Around Services.","Seymour, K., Skattebol, J, & Pook, B.",2020,Comentary,N/A,"Those most at risk of 'falling through the cracks in education are even more likely to suffer during COVID.

Under-resourced families are even more likely to feel the burden of online school.

The paper details 'wraparound' services for youth in the pandemic - services broker the home-school divide for disadvantaged youth (technical support, safe places to study).

Pushes back on 'digital native' terminology -- not all have access to appropriate resources, so there is no bottom-line digital nativity for young people.","Importance of economic modeling to help certain students 'catch up' from the pandemic

Wraparound services that are reflexive, agile, and adaptable (EdConnect as an example?)",N/A,"School, Education, Support, Students, Access, Families, Family, Economic modeling, Reflexive","Digital resources, Educational outcomes, Digital divide, Digital learnig",Australia,,Check,,Students
"Stanley, Jennie Lynn, Vaterlaus, J. Mitchell, Tulane, Sarah, & Beckert, Troy E. (2017). A Place for Technology in Parent Education: An Exploratory Study of Parent Perceptions. Marriage & Family Review, 53(8), 811–825. https://doi.org/10.1080/01494929.2017.1359813",10.1080/01494929.2017.1359813,A Place for Technology in Parent Education: An Exploratory Study of Parent Perceptions.,"Stanley, Jennie Lynn, Vaterlaus, J. Mitchell, Tulane, Sarah, & Beckert, Troy E.",2017,Exploratory,Survey,"Adolescents' use of technology: a private way to maintain contact with their social network
Parents' use of technology: a way to accomplish instrumental tasks (e.g., homework, monitoring child's location, Vaterlaus & Tulane, 2015), communicate with family, seek info.

Adolescents' concern: balancing between connection and independence from parents Parents' concern: releasing of personal info, inappropriate content influence children behavior, victimization by untrustworthy people, engage in illegal activities.

Parents request: 1. want to have resources about how to mediate students' use of technology
2. want to stay updated with the technology trend
3. some parents are adamant that they will not attend any related workshop or training for parents about technology education on teends (no time, no need, not interested)",Parents' have educational needd about mediating students' use of technology.,N/A,"Adolescence, Parent","Parents' attitude and perception, Digital and technology usage",US,Check,,,Parents
